band_name,node_count,edge_count,ave_clustering,central_bands
Deerhunter,21,21,0.09693877551020408,"['Deerhunter', 'Stereolab', 'Mice Parade']"
The Cure,152,182,0.1707626106180978,"['The Cure', 'Siouxsie and the Banshees', 'Bill Nelson', 'The Psychedelic Furs', 'Blink-182', 'Tin Machine', 'the Glove', 'Berlin', 'David Bowie', 'Fools Dance']"
Yeah Yeah Yeahs,93,126,0.22950936528341379,"['Yeah Yeah Yeahs', 'The Rentals', 'Bright Eyes', 'Swans', 'Head Wound City', 'The Blood Brothers', 'Beck', 'Jaguar Love', 'Past Lives', 'The Black Keys']"
Dirty Projectors,211,238,0.10949833736563595,"['Dirty Projectors', 'Red Hot Chili Peppers', 'Lounge Lizards', 'Major Lazer', 'Charli XCX', 'J. Cole', 'Future Islands', 'Atoms for Peace', 'Battles', 'Tom Waits']"
Richard Hawley,25,25,0.08026143790849673,"['Arctic Monkeys', 'Richard Hawley', 'Pulp']"
Foals,4,3,0.0,"['Foals', 'The Edmund Fitzgerald']"
Flying Lotus,75,94,0.1877085877085877,"['Flying Lotus', 'Thundercat', 'MF Doom', 'Kendrick Lamar', 'Mac Miller', 'Earl Sweatshirt', 'Burial', 'Laura Darlington', 'Samiyam', 'Hodgy']"
Simple Minds,82,121,0.21641707829033208,"['Simple Minds', 'Big Country', 'Voodoo Circle', 'Danny Wilson', 'Oblivion Dust', 'The Skids', 'Paul Draper', 'Slik', 'Café Jacques', 'Propaganda']"
Oneohtrix Point Never,34,42,0.161531279178338,"['Anohni', 'Oneohtrix Point Never', 'Ford & Lopatin/Games', 'Tim Hecker', 'FKA twigs', 'David Byrne', 'Ishmael Butler', 'James Ferraro', 'Prurient']"
Billy Bragg,43,42,0.0,"['Wilco', 'Billy Bragg', 'Joe Henry']"
The Triffids,48,48,0.04168679549114332,"['Nick Cave and the Bad Seeds', 'The Triffids']"
Black Flag,364,605,0.24230562285032364,"['Black Flag', 'Social Distortion', 'Misfits', 'Fear', 'Redd Kross', 'Screeching Weasel', 'The Nig-Heist', 'D.O.A.', 'Danzig', 'Circle Jerks']"
Nine Inch Nails,248,287,0.09225560173145098,"['A Perfect Circle', 'Nine Inch Nails', 'Marilyn Manson', ""Guns N' Roses"", 'Korn', 'David Bowie', 'Harry Gregson-Williams', 'Exotic Birds', 'Error', 'Bobby Krlic']"
The Jesus and Mary Chain,99,118,0.1378708073050882,"['The Jesus and Mary Chain', 'Primal Scream', 'Oasis', 'The Gun Club', 'Beady Eye', 'Gay Dad', 'Fountains of Wayne', 'Art Brut', 'Black Box Recorder', 'World of Twist']"
Massive Attack,62,72,0.1487431922915794,"['Massive Attack', 'UNKLE', 'Gorillaz', 'TV on the Radio', 'Portishead', 'Damon Albarn', 'Tricky', 'Horace Andy', 'Thom Yorke', 'Radiohead']"
Animal Collective,35,50,0.3268934240362812,"['Animal Collective', 'Daft Punk', 'Dean Blunt', 'Atlas Sound', 'Jane', 'Zomby', 'Avey Tare & Kría Brekkan', 'Terrestrial Tones', ""Darlin'""]"
Dusty Springfield,25,29,0.049301587301587305,"['Sweet Inspirations', 'The Springfields', 'Burt Bacharach', 'Dusty Springfield', 'Lana Sisters', 'Pet Shop Boys', 'Dionne Warwick']"
Suicide,11,10,0.0,['The Sisterhood']
Stevie Wonder,25,33,0.17577777777777778,"['Michael Jackson', 'Stevie Wonder', 'Elton John', 'Paul McCartney', 'Edwin Birdsong', 'John Lennon', 'The Beatles', 'The Quarrymen']"
Vampire Weekend,44,44,0.04557416267942583,"['Dirty Projectors', 'Vampire Weekend', 'Charli XCX', 'Declan McKenna']"
The Wedding Present,4,3,0.0,['The Wedding Present']
Slint,118,155,0.11043427025601193,"['Slint', 'Zwan', 'The Breeders', 'Tortoise', 'Yeah Yeah Yeahs', 'Stereolab', 'King Kong', 'Squirrel Bait', 'Will Oldham', 'Interpol']"
Wu-Tang Clan,137,175,0.18902350690671862,"['Wu-Tang Clan', 'Easy Mo Bee', 'The Neptunes', 'MF Doom', 'John Frusciante', 'Gravediggaz', 'DJ Muggs', 'Czarface', 'E-40', 'Kurupt']"
Rilo Kiley,52,60,0.08783373489255843,"['Rilo Kiley', 'The Strokes', 'The Elected', 'The Postal Service', 'The Voidz', ""Margot & the Nuclear So and So's"", 'Julian Casablancas', 'Jenny and Johnny', 'Albert Hammond Jr.', 'The Growlers']"
Pharrell Williams,159,205,0.14369220076416758,"['Pharrell Williams', 'Child Rebel Soldier', 'T.I.', 'Snoop Dogg', 'Teddy Riley', 'Jay-Z', 'Tyler, the Creator', 'Daft Punk', 'Usher', 'Justin Timberlake']"
Nick Lowe,69,79,0.07889131802175281,"['Nick Lowe', 'Elvis Costello', 'Johnny Cash', 'Dr Feelgood', 'Rockpile', 'Huey Lewis and the News', 'Carlene Carter', 'Brinsley Schwarz', 'June Carter Cash', 'The Carter Family']"
The National,27,27,0.07583774250440917,"['The National', 'CHVRCHES', 'Ryuichi Sakamoto', 'Jonny Greenwood', 'EL VY']"
Jay-Z,152,182,0.07798105725543807,"['Jay-Z', 'State Property', 'Timbaland', 'Kanye West', 'J. Cole', 'Pharrell', 'Foxy Brown', 'R. Kelly', 'DJ Khaled', 'Frank Ocean']"
The Slits,198,269,0.15102725336395267,"['The Slits', 'The Clash', 'Sex Pistols', 'Public Image Ltd', 'Flying Lizards', 'Siouxsie and the Banshees', 'Big in Japan', 'The Raincoats', 'New Age Steppers', 'The Pop Group']"
Diplo,144,190,0.20302705514586317,"['Diplo', 'DJ Snake', 'LSD', 'Tiesto', 'French Montana', 'Silk City', 'Riff Raff', 'M.I.A.', 'Mark Ronson', 'Justin Bieber']"
The Zombies,62,68,0.1419680677745194,"['The Zombies', 'Ringo Starr & His All-Starr Band', 'Keats', 'the Brian Wilson Band', 'The Kinks', 'The Swinging Blue Jeans', 'The Kast Off Kinks']"
Talk Talk,29,28,0.0,"['Unkle', 'Talk Talk', 'Beth Gibbons', 'James Yorkston']"
DJ Shadow,51,66,0.2844449667979079,"['DJ Shadow', 'Z-Trip', 'Fatboy Slim', 'Wordburglar', 'Lateef', 'Quannum Projects', 'Jurassic 5', 'Cut Chemist', 'Freak Power', 'LA Symphony']"
Chic,703,911,0.10240310626316342,"['Chic', 'Journey', 'Weather Report', 'Roxy Music', 'Earth, Wind & Fire', 'Busta Rhymes', 'Dire Straits', 'Soul Asylum', 'Incognito', 'Dionne Warwick']"
Happy Mondays,28,28,0.075,"['Gorillaz', 'Happy Mondays', 'Peter Hook and The Light']"
The Chills,10,14,0.3995238095238095,"['The Chills', 'The Clean', 'The Great Unwashed']"
Aphex Twin,7,10,0.4523809523809524,"['Luke Vibert', 'Aphex Twin', 'Universal Indicator']"
The Fall,2,1,0.0,[]
Nas,79,95,0.17162986173645733,"['Nas', 'The Firm', 'will.i.am', 'Salaam Remi', 'Mobb Deep', 'DJ Premier', 'Kelis', 'Scarface', 'Damian ""Jr. Gong"" Marley', 'AZ']"
Television,64,69,0.09887019230769231,"['Television', 'Blondie', 'Jerry Lee Lewis', 'the Heartbreakers', 'Matthew Sweet', 'Mick Jagger', 'Rocket From the Tombs', 'The Waitresses', 'Ramones', 'New York Dolls']"
Death from Above,3,2,0.0,['Death from Above']
Bat for Lashes,28,31,0.09042207792207792,"['Benson Taylor', 'Sexwitch', 'Jon Hopkins', 'Bat for Lashes']"
The Cars,27,32,0.22804232804232802,"['The New Cars', 'The Cars', 'The Modern Lovers', 'Creedence Clearwater Revisited', ""Elliot Easton's Tiki Gods""]"
Wiley (musician),51,111,0.510023559677539,"['Roll Deep', 'Ghetts', 'Boy Better Know', 'Kano', 'Dot Rotten', 'D Double E', 'Dizzee Rascal', 'Wiley (musician)', 'Wiley', 'Skepta']"
Bikini Kill,27,37,0.17707231040564372,"['Bikini Kill', 'The Go Team', 'Le Tigre', 'The Frumpies', 'the Frumpies', 'The Julie Ruin', 'The Make-Up', 'Scene Creamers', 'Bratmobile', 'Weird War']"
New Order,36,79,0.4247855539522206,"['Electronic', 'Freebass', 'New Order', 'Joy Division', 'The Smiths', 'The Pretenders', 'Peter Hook and the Light', 'Morrissey', 'Bad Lieutenant']"
PJ Harvey,94,119,0.18296520920027523,"['Nick Cave and the Bad Seeds', 'PJ Harvey', 'Black Lab', 'Mark Lanegan', 'Desert Sessions', 'Sparklehorse', 'Tricky', 'Marianne Faithfull', 'Thom Yorke', 'Mick Harvey']"
